Simulacion,Paso,Influencia,PH,Exp_Investigacion,Exp_Combate,Exp_Fabricacion
1,1,0,0,0,0,0
1,2,0,0,0,22,0
1,3,0,0,25,22,28
1,4,0,0,48,32,28
1,5,0,0,48,35,32
1,6,0,0,48,49,32
1,7,0,0,73,60,58
1,8,0,0,73,66,88
1,9,1,0,73,66,9
1,10,1,0,73,86,9
2,1,0,0,0,0,0
2,2,0,0,0,19,0
2,3,0,0,0,37,0
2,4,0,0,0,61,15
2,5,0,0,27,61,40
2,6,0,0,27,75,40
2,7,0,0,27,75,63
2,8,0,0,27,82,86
2,9,0,0,49,82,87
2,10,0,0,49,82,97
3,1,0,0,0,0,0
3,2,0,0,0,0,0
3,3,0,0,0,1,0
3,4,0,0,0,7,0
3,5,0,0,0,7,20
3,6,0,0,0,7,21
3,7,0,0,0,12,21
3,8,0,0,20,42,37
3,9,0,0,20,42,37
3,10,0,0,20,42,57
4,1,0,0,0,0,0
4,2,0,0,27,2,23
4,3,0,0,27,9,23
4,4,0,0,42,9,31
4,5,0,0,42,19,31
4,6,0,0,42,19,49
4,7,0,0,47,25,60
4,8,0,0,47,25,74
4,9,0,0,61,25,74
4,10,0,0,82,33,98
5,1,0,0,0,0,0
5,2,0,0,0,0,15
5,3,0,0,0,0,40
5,4,0,0,0,0,69
5,5,0,0,24,0,69
5,6,0,0,41,16,69
5,7,0,0,67,16,81
5,8,1,0,67,16,3
5,9,1,0,67,21,7
5,10,1,0,67,49,7
